Mv,s,c,T,f,Ssw,s_real,s_imag,HQR_real,HQR_imag,WYR_real,WYR_imag,MAB_real,MAB_imag,angle,rms,cl,HH1,HH2,HH3,VV1,VV2,VV3,HV1,HV2,HV3,VH1,VH2,VH3
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,1,-33.3990634103016,-34.9493796411427,-34.1770924382812,-21.3493026284635,-22.8980976202977,-22.1251143239287,-123.019166005788,-124.568345859362,-123.795557373609,-123.019167057709,-124.568346911277,-123.795558425521
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,1.5,-32.1181654926085,-35.1758171841233,-33.4439636459891,-20.0582225649428,-23.1069736692337,-21.3777814744578,-121.730778235407,-124.781859916741,-123.051978640186,-121.730779287287,-124.781860968585,-123.051979692042
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,2,-32.7556235161577,-35.7883672363828,-33.7335628457378,-20.6762616182546,-23.7050052611123,-21.6516420067501,-122.353946193768,-125.383732280177,-123.330000293123,-122.35394724557,-125.383733331963,-123.330001344915
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,2.5,-34.8291177731658,-36.4396068271966,-34.5796888089753,-22.740065573855,-24.3484418964266,-22.4888469031608,-124.422147630851,-126.029461722211,-124.170135096575,-124.422148678084,-126.029462773239,-124.170136146796
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,3,-38.1039241286126,-37.045838015735,-35.769340682216,-26.0220606690385,-24.9552571656057,-23.6802921165521,-127.707583342395,-126.636680308563,-125.3624422637,-127.707584377003,-126.636681358332,-125.362443310865
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,3.5,-42.4336827121175,-37.6000323125357,-37.2025303941462,-30.3653234143376,-25.5099805635154,-25.1153381070172,-132.058089178188,-127.191675354886,-126.798420433925,-132.058090186205,-127.191676403741,-126.79842147785
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,4,-47.6388240551291,-38.1036957447835,-38.8137469750798,-35.5922550440389,-26.014024878727,-26.7284576761081,-137.300183596579,-127.69592149524,-128.412541194752,-137.300184547512,-127.695922543428,-128.412542235267
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,4.5,-53.4297860864468,-38.5622433909694,-40.5607515287396,-41.3984047651129,-26.472852865212,-28.4773972286874,-143.134265679781,-128.154901865016,-130.162550185856,-143.134266515094,-128.154902912709,-130.162551222804
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.1,5,-59.3591024335132,-38.9815597799123,-42.4147166926556,-47.2714458940197,-26.8923801811928,-30.3333159205477,-149.042791635825,-128.574546209061,-132.019606126553,-149.04279228291,-128.574547256379,-132.019607159788
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,1,-17.2134916534239,-18.7459222123204,-17.9468272113035,-9.23467129883801,-10.7989042214299,-9.95579641382658,-109.882006169718,-111.430925419724,-110.60569881028,-109.882007226308,-111.430926476397,-110.605699866816
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,1.5,-15.7006224727209,-18.5829605523226,-16.895559091659,-7.57830135560329,-10.4056431909974,-8.71145396204702,-108.273984890531,-111.113821241041,-109.425979470178,-108.273985946619,-111.113822296915,-109.425980526045
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,2,-15.9198385887503,-18.8830614696172,-16.8466741514692,-7.55376495394454,-10.5116480268203,-8.45754186658746,-108.330604198104,-111.284976771297,-109.240936270069,-108.330605253363,-111.284977826531,-109.240937325251
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,2.5,-16.9861508773364,-19.3057337503911,-17.2906390536879,-8.78885261943967,-10.8639627009067,-8.87491384144889,-109.539747286803,-111.668013759613,-109.680416526755,-109.539748238176,-111.668014795947,-109.680417543098
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,3,-18.3119879178413,-19.6467930479748,-17.8320390620405,-10.7089399421398,-11.2725225601281,-9.64594425076979,-111.314961173035,-112.067728251647,-110.402652187767,-111.314961921062,-112.067729253285,-110.402653123154
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,3.5,-19.9927957021475,-19.9765471449267,-18.6278218274931,-12.8814007004235,-11.6752650899002,-10.6324559536324,-113.37097993594,-112.458631393919,-111.351967424293,-113.370980480267,-112.458632365663,-111.35196828448
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,4,-21.9777429514679,-20.3142759093638,-19.615398509012,-15.1007588321122,-12.0618221791094,-11.7734102984902,-115.556068731823,-112.838956544008,-112.467493868301,-115.556069116874,-112.838957493732,-112.467494659187
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,4.5,-24.2785496772982,-20.6475209835118,-20.7540369863611,-17.3478564510798,-12.4287314744087,-13.0304867225063,-117.869641586803,-113.202886678949,-113.710731533864,-117.869641868822,-113.202887612083,-113.71073226123
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,0.6,5,-26.8813865382876,-20.9703204991761,-22.015450766855,-19.6734809131731,-12.7754137670727,-14.3782288873855,-120.34630339459,-113.548469291637,-115.055824003493,-120.346303612291,-113.548470212014,-115.055824672843
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,1,-15.5433095653188,-17.4374508662875,-16.2735060380901,-9.82212933723249,-11.8198755138866,-10.5722879206394,-109.715735696718,-111.670365725969,-110.457480127298,-109.715736757749,-111.670366787283,-110.457481188382
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,1.5,-13.3064770030265,-16.1288790429824,-14.2712153972383,-7.5217679227326,-10.4209359480865,-8.48953617450032,-107.440124130898,-110.305626703605,-108.405848376927,-107.44012519175,-110.305627764667,-108.405849437786
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,2,-12.4382920977196,-15.5303236412565,-13.2994328309719,-6.56388443331115,-9.74058853375662,-7.43498548163295,-106.517293296068,-109.656619016857,-107.38364558376,-106.517294356672,-109.656620077699,-107.383646644391
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,2.5,-11.9833963886173,-15.2688323856574,-12.8682745749831,-6.90248524014981,-9.57145232256658,-7.31463202339257,-106.587431403883,-109.460060522944,-107.163280670207,-106.587432285496,-109.460061550358,-107.16328165099
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,3,-11.5055255665963,-15.0751171321635,-12.3007755077834,-7.64960899472945,-9.66103510216327,-7.52380387234753,-106.883422263156,-109.455984705424,-107.101708459462,-106.883422874778,-109.45598566368,-107.101709270773
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,3.5,-11.6316297784409,-14.8297937801121,-12.1214621505786,-8.56224740526181,-9.79473004217582,-7.92947502058815,-107.489466397742,-109.459197918413,-107.295066130129,-107.489466819974,-109.459198791185,-107.295066806244
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,4,-12.2360208658833,-14.7254427736385,-12.2350013292334,-9.60599923071701,-9.95580455569899,-8.48409467891801,-108.361223744816,-109.527740296522,-107.686022131409,-108.361224044227,-109.527741106647,-107.68602269896
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,4.5,-13.1983347644689,-14.7116277688226,-12.5773520342081,-10.785665144349,-10.1335753214178,-9.15754990563133,-109.463239747483,-109.638536030158,-108.236085404848,-109.463239965669,-109.638536793033,-108.236085884533
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.1,5,-14.4307428382986,-14.7572743595387,-13.10343055596,-12.0981265616593,-10.320978424407,-9.92919734965391,-110.760757501064,-109.776619849456,-108.917755607715,-110.760757661854,-109.776620575832,-108.9177560157
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,1,-17.8360252178525,-21.3601901134468,-18.8526451545633,-12.5805437519996,-16.1420453200238,-13.6032575187054,-112.297726511803,-115.84386498253,-113.317943742268,-112.297727574019,-115.843866044846,-113.317944804499
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,1.5,-14.9137143629967,-18.8681291290267,-15.9651466895598,-9.65178158213708,-13.6413637280553,-10.7082356082193,-109.37158053557,-113.346509752749,-110.425939442083,-109.371581597768,-113.346510815042,-110.425940504294
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,2,-13.1923258539937,-17.3441288616962,-14.1853675696425,-8.27405712877386,-12.1088264910108,-9.21848970602009,-107.87159836644,-111.817288486348,-108.833200955961,-107.871599359566,-111.817289548619,-108.833201959728
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,2.5,-11.5614788563283,-16.3390491308811,-12.7572213938881,-7.78870914082991,-11.37682194213,-8.50513354870214,-106.954388062347,-110.988075314979,-107.85568610614,-106.954388825073,-110.988076322184,-107.855686966439
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,3,-10.2303574823166,-15.5452171731309,-11.3845439363846,-7.62576692322122,-11.0281580095134,-8.092968262623,-106.313909641138,-110.476484157317,-107.066351252027,-106.313910162331,-110.476485074935,-107.06635191628
0.05,0.3,0.1,10,5,0,3.8903,0.1416,3.8903,0,3.8903,0.1416,2.532,2.2155,40,1.6,3.5,-9.53638348781301,-14.5955700534798,-10.5040628321879,-7.68826243325804,-10.7779107865881,-7.90267901222493,-106.047198819222,-109.959132157171,-106.589527102808,-106.047199179997,-109.959132933312,-106.589527622851
